"NJU-parser: achievements on semantic dependency parsing","Guangchao Tang;Bin Li;Shuaishuai Xu;Xinyu Dai;Jiajun Chen",";;;;","null","","2012","","","","","","","","","","https://dl.acm.org/doi/10.5555/2387636.2387723","Computing methodologies;Artificial intelligence;Natural language processing;Hardware;Power and energy;Power estimation and optimization;Platform power issues","","","","","","0","","","","","Association for Computational Linguistics",""
"Research on interoperability of intelligent mobile agent for DIS","Xiangjun Sun;Fengyu Liu;Manwu Xu",";;","null","","2003","","","","","","","","","","https://dl.acm.org/doi/10.1145/966221.966242","Computing methodologies;Artificial intelligence;Distributed artificial intelligence;Intelligent agents;Multi-agent systems","","","","","","1","","","","","Association for Computing Machinery",""
"Guaranteeing deadlines for inter-datacenter transfers","Hong Zhang;Kai Chen;Wei Bai;Dongsu Han;Chen Tian;Hao Wang;Haibing Guan;Ming Zhang",";;;;;;;","null","","2015","","","","","","","","","","https://dl.acm.org/doi/10.1145/2741948.2741957","MP4;854.4 MB;Computer systems organization;General and reference;Cross-computing tools and techniques;Performance;Hardware;Communication hardware, interfaces and storage;Information systems;Data management systems;Database management system engines;Networks;Network performance evaluation","","","","","","22","","","","","Association for Computing Machinery",""
"Automated Finite State Machine Extraction","Yongheng Chen;Linhai Song;Xinyu Xing;Fengyuan Xu;Wenfei Wu",";Pennsylvania State University, State College, PA, USA;Pennsylvania State University, State College, PA, USA;Nanjing University, Nanjing, China;Tsinghua University, Beijing, China","null","","2019","","","","","","","","","","https://dl.acm.org/doi/10.1145/3338502.3359760","Networks;Network protocols;Protocol correctness;Protocol testing and verification;Software and its engineering;Software creation and management;Software verification and validation;Software defect analysis;Software testing and debugging;Software organization and properties;Software functional properties;Formal methods;Automated static analysis","","","","","","0","","","","","Association for Computing Machinery",""
"Reading Elinor Ostrom In Silicon Valley: Exploring Institutional Diversity on the Internet","M. Six Silberman","","null","","2016","","","","","","","","","","https://dl.acm.org/doi/10.1145/2957276.2957311","Information systems;World Wide Web;Web applications;Electronic commerce;Social and professional topics;Computing / technology policy;Commerce policy;Professional topics;Computing and business","","","","","","3","","","","","Association for Computing Machinery",""
"Ensemble of Sparse Cross-Modal Metrics for Heterogeneous Face Recognition","Jing Huo;Yang Gao;Yinghuan Shi;Wanqi Yang;Hujun Yin","Nanjing University, Nanjing, China;Nanjing University, Nanjing, China;Nanjing University, Nanjing, China;Nanjing Normal University & Nanjing University, Nanjing, China;The University of Manchester, Manchester, United Kingdom","null","","2016","","","","","","","","","","https://dl.acm.org/doi/10.1145/2964284.2964311","Computing methodologies;Artificial intelligence;Computer vision;Computer vision problems;Matching;Machine learning;Machine learning algorithms;Feature selection;Security and privacy;Security services;Authentication;Biometrics;Theory of computation;Theory and algorithms for application domains;Machine learning theory;Boosting","","","","","","5","","","","","Association for Computing Machinery",""
"ResidualDenseNetwork: A Simple Approach for Video Person Identification","Zixuan Huang;Yuan Chang;Weizhao Chen;Qiwei Shen;Jianxin Liao","Beijing University of Posts and Telecommunications, Beijing, China;Beijing University of Posts and Telecommunications, Beijing, China;Beijing University of Posts and Telecommunications, Beijing, China;Beijing University of Posts and Telecommunications, Beijing, China;Beijing University of Posts and Telecommunications, Beijing, China","null","","2019","","","","","","","","","","https://dl.acm.org/doi/10.1145/3343031.3356050","Information systems;Information retrieval;Specialized information retrieval;Multimedia and multimodal retrieval;Video search","","","","","","0","","","","","Association for Computing Machinery",""
"Content-based emotion classification in online social networks for Chinese Microblogs","Xiujuan Xu;Xiaowei Zhao;Fei Xiong;Shimin Shan;Yu Liu",";;;Dalian University of Technology, Dalian, China;Dalian University of Technology, Dalian, China","null","","2017","","","","","","","","","","https://dl.acm.org/doi/10.1145/3014812.3014866","Computer systems organization;Redundancy;Embedded and cyber-physical systems;Embedded systems;Robotics;Networks;Network properties;Network reliability","","","","","","0","","","","","Association for Computing Machinery",""
"Cloud computing for linguists","Dorothee Beermann;Pavel Mihaylov","Norwegian University of Science and Technology;Ontotext","null","","2010","","","","","","","","","","https://dl.acm.org/doi/10.5555/1944284.1944297","Applied computing;Arts and humanities;Language translation;Computing methodologies;Artificial intelligence;Natural language processing;Software and its engineering;Software organization and properties;Software system structures;Distributed systems organizing principles;Organizing principles for web applications","","","","","","0","","","","","Association for Computational Linguistics",""
"Interlinear glossing and its role in theoretical and descriptive studies of African and other lesser-documented languages","Dorothee Beermann;Pavel Mihaylov",";","null","","2009","","","","","","","","","","https://dl.acm.org/doi/10.5555/1564508.1564523","Computing methodologies;Artificial intelligence;Natural language processing;Modeling and simulation;Model development and analysis;Modeling methodologies;Information systems;Information retrieval;Document representation;Content analysis and feature selection","","","","","","0","","","","","Association for Computational Linguistics",""
"Analysis of computer science related curriculum on LDA and Isomap","Takayuki Sekiya;Yoshitatsu Matsuda;Kazunori Yamaguchi","Information Technology Center, the University of Tokyo, 3-8-1 Komaba, Meguro, Tokyo, Japan;Department of Integrated Information Technology, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, , Japan;Information Technology Center, the University of Tokyo, 3-8-1 Komaba, Meguro, Tokyo, Japan","null","","2010","","","","","","","","","","https://dl.acm.org/doi/10.1145/1822090.1822106","Social and professional topics;Professional topics;Computing education;Computing education programs;Computer science education","","","","","","11","","","","","Association for Computing Machinery",""
"Crowdsourced report generation via bug screenshot understanding","Shengcheng Yu","Nanjing University, China","null","","2019","","","","","","","","","","https://dl.acm.org/doi/10.1109/ASE.2019.00161","Software and its engineering;Software creation and management;Software verification and validation;Software defect analysis;Software testing and debugging","","","","","","0","","","","","IEEE Press",""
"Usage model-based automated testing of C++ templates","Kirk Sayre","University of Tennessee, Knoxville, TN","null","","2005","","","","","","","","","","https://dl.acm.org/doi/10.1145/1083274.1083277","Software and its engineering;Software creation and management;Software verification and validation;Software defect analysis;Software testing and debugging;Software organization and properties;Software functional properties;Formal methods;Model checking;Theory of computation;Logic;Verification by model checking","","","","","","2","","","","","Association for Computing Machinery",""
"Usage model-based automated testing of C++ templates","Kirk Sayre","University of Tennessee, Knoxville, TN","null","","2005","","","","","","","","","","https://dl.acm.org/doi/10.1145/1082983.1083277","Software and its engineering;Software creation and management;Software verification and validation;Software defect analysis;Software testing and debugging;Software organization and properties;Software functional properties;Formal methods;Model checking;Theory of computation;Logic;Verification by model checking","","","","","","2","","","","","Association for Computing Machinery",""
"Real Time Recommendations from Connoisseurs","Noriaki Kawamae","Tokyo Denki University, Tokyo, Japan","null","","2015","","","","","","","","","","https://dl.acm.org/doi/10.1145/2783258.2783260","Information systems;Information retrieval","","","","","","5","","","","","Association for Computing Machinery",""
"GREASE: A Generative Model for Relevance Search over Knowledge Graphs","Tianshuo Zhou;Ziyang Li;Gong Cheng;Jun Wang;Yu'Ang Wei","Nanjing University, Nanjing, China;Nanjing University, Nanjing, China;Nanjing University, Nanjing, China;University College London, London, United Kingdom;Nanjing University, Nanjing, China","null","","2020","","","","","","","","","","https://dl.acm.org/doi/10.1145/3336191.3371772","Computing methodologies;Artificial intelligence;Knowledge representation and reasoning;Semantic networks;Information systems;Information retrieval;Retrieval models and ranking;Probabilistic retrieval models","","","","","","0","","","","","Association for Computing Machinery",""
"Noise Robust Frequency-Domain Adaptive Blind Multichannel Identification With $\ell _p$-Norm Constraint","Hongsen He;Jingdong Chen;Jacob Benesty;Tao Yang",";;INRS-EMT, University of Quebec, Montreal QC, Canada;School of Information Engineering and Robot Technology Used for Special Environment Key Laboratory of Sichuan Province, Southwest University of Science and Technology, Mianyang, China","null","","2018","","","","","","","","","","https://dl.acm.org/doi/10.1109/TASLP.2018.2835729","Applied computing;Arts and humanities;Sound and music computing;Computing methodologies;Modeling and simulation;Model development and analysis;Modeling methodologies;Hardware;Communication hardware, interfaces and storage;Signal processing systems","","","","","","1","","","","","IEEE Press",""
"Exploit imbalanced cell writes to mitigate write disturbance in dense phase change memory","Rujia Wang;Lei Jiang;Youtao Zhang;Linzhang Wang;Jun Yang","University of Pittsburgh;University of Pittsburgh;University of Pittsburgh;Nanjing University;","null","","2015","","","","","","","","","","https://dl.acm.org/doi/10.1145/2744769.2744841","Hardware;Integrated circuits;Semiconductor memory","","","","","","13","","","","","Association for Computing Machinery",""
"e-research for linguists","Dorothee Beermann;Pavel Mihaylov",";Ontotext, Sofia, Bulgaria","null","","2011","","","","","","","","","","https://dl.acm.org/doi/10.5555/2107636.2107640","Applied computing;Arts and humanities;Language translation;Computing methodologies;Artificial intelligence;Natural language processing;Information systems;Information retrieval;Information storage systems","","","","","","0","","","","","Association for Computational Linguistics",""
"Modeling Topics and Behavior of Microbloggers: An Integrated Approach","Tuan-Anh Hoang;Ee-Peng Lim",";Living Analytics Research Centre, Singapore Management University, Stamford Road, Singapore","null","","2017","","","","","","","","","","https://dl.acm.org/doi/10.1145/2990507","Information systems;Information systems applications","","","","","","4","","","","","Association for Computing Machinery",""
"Analysing cache effects in distribution sorting","Naila Rahman;Rajeev Raman",";","null","","2001","","","","","","","","","","https://dl.acm.org/doi/10.1145/351827.384256","Hardware;Integrated circuits;Semiconductor memory;Dynamic memory;Mathematics of computing;Mathematical analysis;Numerical analysis;Numerical differentiation;Probability and statistics;Distribution functions;Theory of computation;Design and analysis of algorithms","","","","","","9","","","","","Association for Computing Machinery",""
"Denotational data flow analysis for parallel implementation of imperative programs","Shan-Jon Chao;Barrett R. Bryant",";Department of Computer and Information Sciences, The University of Alabama at Birmingham, Birmingham, Alabama","null","","1988","","","","","","","","","","https://dl.acm.org/doi/10.1145/322609.322612","Software and its engineering;Software notations and tools;Compilers;Formal language definitions;Theory of computation;Formal languages and automata theory;Models of computation;Concurrency;Parallel computing models;Semantics and reasoning;Program semantics;Denotational semantics","","","","","","0","","","","","Association for Computing Machinery",""
