Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"The Importance of Recombination via Excited States in InAs/GaAs <formula formulatype="inline"><tex Notation="TeX"> $\hbox{1.3}\;\mu$</tex></formula>m Quantum-Dot Lasers","M. T. Crowley; I. P. Marko; N. F. Masse; A. D. Andreev; S. Tomic; S. J. Sweeney; E. P. O'Reilly; A. R. Adams","Tyndall Nat. Inst., Cork; ; ; ; ; ; ; ","IEEE Journal of Selected Topics in Quantum Electronics","","2009","15","3","799","807","","","","10.1109/JSTQE.2009.2015679","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957074","Characteristic temperature;quantum dot (QD);recombination mechanisms;semiconductor lasers;threshold current density","Gallium arsenide;Radiative recombination;Land surface temperature;Laser excitation;Threshold current;Temperature measurement;Stationary state;Temperature dependence;Quantum dot lasers;Density measurement","Auger effect;current density;electron-hole recombination;excited states;gallium arsenide;ground states;III-V semiconductors;indium compounds;quantum dot lasers;thermo-optical effects","quantum-dot laser;radiative temperature dependence;nonradiative temperature dependence;threshold current density;weak temperature variation measurement;radiative current density;optical matrix element;excited state transition;ground state transition;nonradiative Auger recombination;wavelength 1.3 mum;temperature 293 K to 298 K;InAs-GaAs","","20","","","19 May 2009","","","IEEE","IEEE Conferences"
"Dynamically Reconfigurable Architecture Design for Ultrasonic Imaging","E. Oruklu; J. Saniie","Dept. of Electr. & Comput. Eng., Illinois Inst. of Technol., Chicago, IL, USA; Dept. of Electr. & Comput. Eng., Illinois Inst. of Technol., Chicago, IL, USA","IEEE Transactions on Instrumentation and Measurement","","2009","58","8","2856","2866","","","","10.1109/TIM.2009.2016370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957075","Compression;detectors;field-programmable gate array (FPGA);reconfigurable architectures;wavelet transforms","Reconfigurable architectures;Ultrasonic imaging;Discrete wavelet transforms;Signal processing algorithms;Hardware;Computer architecture;Filters;Frequency diversity;Kernel;Detection algorithms","data compression;discrete wavelet transforms;field programmable gate arrays;reconfigurable architectures;signal detection;signal reconstruction;system-on-chip;ultrasonic imaging","ultrasonic imaging;computationally complex;reconfigurable subband decomposition processor;wavelet filter;frequency diverse signal processing;lifting-based discrete wavelet transform;wavelet kernel;thresholding operation;postprocessing detection algorithm;signal decomposition;data reconstruction;windowing operation;target detection;data compression;field-programmable gate array;dynamically reconfigurable architecture design;parallel implementation;inverse discrete wavelet transforms;forward transforms;system-on-a-chip implementation","","15","","","19 May 2009","","","IEEE","IEEE Conferences"
"Capacitive Sensor for Three-Axis Force Measurements and Its Readout Electronics","J. G. V. da Rocha; P. F. A. da Rocha; S. Lanceros-Mendez","Dept. of Ind. Electron., Univ. of Minho, Guimaraes, Portugal; ; ","IEEE Transactions on Instrumentation and Measurement","","2009","58","8","2830","2836","","","","10.1109/TIM.2009.2016366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957076","Capacitive sensor;capacitor readout;force sensor;tactile sensor;three axes","Capacitive sensors;Force measurement;Readout electronics;Mechanical sensors;Sensor phenomena and characterization;Conducting materials;Capacitors;Circuit testing;Rubber;Robustness","capacitive sensors;force measurement;readout electronics","capacitive force sensor;three-axis force measurement;readout electronics;variable capacitor;mechanical flexibility;interface electronics;parasitic capacitance effect reduction;conductive material deposition;contact force detection","","31","","","19 May 2009","","","IEEE","IEEE Conferences"
"Enhanced Light Extraction by Photonic Quasi-Crystals in GaN Blue LEDs","P. A. Shields; M. D. B. Charlton; T. Lee; M. E. Zoorob; D. W. E. Allsopp; W. N. Wang","Univ. of Bath, Bath, UK; ; ; ; Univ. of Bath, Bath, UK; Univ. of Bath, Bath, UK","IEEE Journal of Selected Topics in Quantum Electronics","","2009","15","4","1269","1274","","","","10.1109/JSTQE.2009.2016674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957077","Electroluminescence;extraction;LEDs;photonic crystals","Gallium nitride;Light emitting diodes;Photonic crystals;Lithography;Filling;Substrates;Data mining;Epitaxial growth;Crystalline materials;Optical waveguides","electroluminescence;electron beam lithography;finite difference time-domain analysis;gallium compounds;III-V semiconductors;light emitting diodes;optical fabrication;optical materials;photonic crystals;wide band gap semiconductors","enhanced light extraction;photonic quasicrystal;blue LED;optical fabrication;electron beam lithography;epitaxial substrate;lapping;dicing;2D finite-difference time-domain calculation;electroluminescence","","21","","","19 May 2009","","","IEEE","IEEE Conferences"
"Novel Epitaxial Nanostructures for the Improvement of InGaN LEDs Efficiency","T. Jung; L. K. Lee; P. Ku","Dept. of Electr. Eng. & Comput. Sci., Univ. of Michigan, Ann Arbor, MI, USA; Dept. of Electr. Eng. & Comput. Sci., Univ. of Michigan, Ann Arbor, MI, USA; Dept. of Electr. Eng. & Comput. Sci., Univ. of Michigan, Ann Arbor, MI, USA","IEEE Journal of Selected Topics in Quantum Electronics","","2009","15","4","1073","1079","","","","10.1109/JSTQE.2009.2016437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957078","Light-emitting diodes;nanotechnology;quantum-confined Stark effect;semiconductor epitaxial layers","Nanostructures;Light emitting diodes;Gallium nitride;Surface texture;Quantum well devices;III-V semiconductor materials;Chemical vapor deposition;Substrates;Stark effect;Photoluminescence","gallium compounds;III-V semiconductors;indium compounds;light emitting diodes;MOCVD coatings;nanophotonics;nanostructured materials;optical fabrication;photoluminescence;quantum confined Stark effect;semiconductor quantum wells;surface treatment","epitaxial nanostructures;LED efficiency;nanostructured semipolar gallium nitride;metal-organic chemical vapor deposition tool;c-plane sapphire substrate;quantum-confined Stark effect;photoluminescence;radiative recombination lifetime;photon extraction efficiency;surface texturing;electrical injection LED structure;multiple quantum wells;wavelength 543 nm;InGaN-GaN","","23","","","19 May 2009","","","IEEE","IEEE Conferences"
"The Structure of GaN-Based Transverse Junction Blue LED Array for Uniform Distribution of Injected Current/Carriers","J. Shi; S. Guol; C. Lin; J. Sheu; K. Chang; W. Lai; C. Kuo; C. Tun; J. Chyi","Dept. of Electr. Eng., Nat. Central Univ., Jhongli, Taiwan; ; Dept. of Electr. Eng., Nat. Central Univ., Jhongli, Taiwan; ; ; ; ; ; Dept. of Electr. Eng., Nat. Central Univ., Jhongli, Taiwan","IEEE Journal of Selected Topics in Quantum Electronics","","2009","15","4","1292","1297","","","","10.1109/JSTQE.2009.2017029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957079","GaN LEDs;white light generation","Light emitting diodes;Quantum well devices;Gallium nitride;Power generation;Photonics;Current distribution;Shape;Optical devices;Electroluminescence;P-n junctions","electroluminescence;gallium compounds;III-V semiconductors;light emitting diodes;semiconductor growth;semiconductor junctions;semiconductor quantum wells;wide band gap semiconductors","transverse junction blue LED array;LED structure;injected current;n-type semiconductor layer regrowth;undoped multiple quantum wells;transverse flow;nonuniform current distribution;nonuniform carrier distribution;electroluminescence spectra;GaN","","6","","","19 May 2009","","","IEEE","IEEE Conferences"
"Improved Output Power of 380 nm InGaN-Based LEDs Using a Heavily Mg-Doped GaN Insertion Layer Technique","S. Huang; D. Wuu; P. Wu; S. Chan","Dept. of Mater. Eng., Nat. Chung Hsing Univ., Taichung, Taiwan; Dept. of Mater. Eng., Nat. Chung Hsing Univ., Taichung, Taiwan; ; ","IEEE Journal of Selected Topics in Quantum Electronics","","2009","15","4","1132","1136","","","","10.1109/JSTQE.2009.2014778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957080","Metalorganic chemical vapor deposition;threading dislocation;UV LEDs","Power generation;Light emitting diodes;Gallium nitride;Optical films;Etching;MOCVD;Optical buffering;Optical sensors;X-ray diffraction;Chemical vapor deposition","cathodoluminescence;gallium compounds;III-V semiconductors;indium compounds;light emitting diodes;transmission electron microscopy;X-ray diffraction","insertion layer technique;transmission electron microscopy;etch pit density;cathodoluminescence;double-crystal X-ray diffraction;internal quantum efficiency;wavelength 380 nm;InGaN","","2","","","19 May 2009","","","IEEE","IEEE Conferences"
"A New Assessment of Singularities of Parallel Kinematic Chains","M. Conconi; M. Carricato","Dept. of Mech. Eng., Univ. of Bologna, Bologna, Italy; Dept. of Mech. Eng., Univ. of Bologna, Bologna, Italy","IEEE Transactions on Robotics","","2009","25","4","757","770","","","","10.1109/TRO.2009.2020353","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957081","Kinematic singularities;parallel robots;robot kinematics;taxonomy","Fasteners;Taxonomy;Robot kinematics;Jacobian matrices;Computational geometry;Leg;Actuators;Parallel robots;Mechanical engineering;Differential equations","actuators;robot kinematics","parallel kinematic chain;comprehensive taxonomy;unactuated kinematic chain;passive-constraint singularity","","44","","","19 May 2009","","","IEEE","IEEE Conferences"
"Combining MLPs and RBFNNs to Detect Signals With Unknown Parameters","D. de la Mata-Moya; M. P. Jarabo-Amores; M. Rosa-Zurera; J. C. Nieto Borge; F. Lopez-Ferreras","Dept. de Teor. de la Serial y Comun., Univ. de Alcala, Alcala de Henares, Spain; Dept. de Teor. de la Serial y Comun., Univ. de Alcala, Alcala de Henares, Spain; Dept. de Teor. de la Serial y Comun., Univ. de Alcala, Alcala de Henares, Spain; Dept. de Teor. de la Serial y Comun., Univ. de Alcala, Alcala de Henares, Spain; Dept. de Teor. de la Serial y Comun., Univ. de Alcala, Alcala de Henares, Spain","IEEE Transactions on Instrumentation and Measurement","","2009","58","9","2989","2995","","","","10.1109/TIM.2009.2016803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957082","Average likelihood ratio (ALR);composite hypothesis test;Gaussian signals;neural networks (NNs);Neyman–Pearson (NP) detector","Signal detection;Detectors;Testing;Neural networks;Computational efficiency;Radar detection;Maximum likelihood detection;Multilayer perceptrons;Approximation error;Logic functions","approximation theory;multilayer perceptrons;radial basis function networks;signal detection","Gaussian signal detection;unknown correlation coefficient;neural networks;multilayer perceptron;false-alarm probability;approximation error;radial basis function;OR logic function;average likelihood ratio","","17","","","19 May 2009","","","IEEE","IEEE Conferences"
"Interval Type-2 Fuzzy Logic Congestion Control for Video Streaming Across IP Networks","E. A. Jammeh; M. Fleury; C. Wagner; H. Hagras; M. Ghanbari","Sch. of Comput., Commun. & Electron., Univ. of Plymouth, Plymouth, UK; Sch. of Comput. Sci. & Electron. Eng., Univ. of Essex, Colchester, UK; Sch. of Comput. Sci. & Electron. Eng., Univ. of Essex, Colchester, UK; Sch. of Comput. Sci. & Electron. Eng., Univ. of Essex, Colchester, UK; Sch. of Comput. Sci. & Electron. Eng., Univ. of Essex, Colchester, UK","IEEE Transactions on Fuzzy Systems","","2009","17","5","1123","1142","","","","10.1109/TFUZZ.2009.2023325","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957083","All-internet protocol (IP) network;congestion control;interval type-2 (IT2) fuzzy logic control;video streaming","Fuzzy logic;Streaming media;IP networks;Communication system traffic control;Fluctuations;Protocols;Fuzzy sets;Intelligent control;Intelligent networks;Uncertainty","fuzzy control;intelligent control;IP networks;packet switching;telecommunication congestion control;telecommunication traffic;transport protocols;video coding;video streaming","interval type-2 fuzzy logic congestion control;encoded video streaming;IP network;transmission control protocol;TCP;rate control equation;multimedia traffic;packet-switched IP network;feedback delay;Internet;type-2 FLC;intelligent congestion control","","98","","","19 May 2009","","","IEEE","IEEE Conferences"
"ANTS: Efficient Vehicle Locating Based on Ant Search in ShanghaiGrid","M. Li; H. Zhu; Y. Zhu; L. M. Ni","Dept. of Comput. Sci. & Eng., Shanghai Jiao Tong Univ., Shanghai, China; Dept. of Comput. Sci. & Eng., Shanghai Jiao Tong Univ., Shanghai, China; Dept. of Comput. Sci. & Eng., Shanghai Jiao Tong Univ., Shanghai, China; Dept. of Comput. Sci. & Eng., Hong Kong Univ. of Sci. & Technol., Kowloon, China","IEEE Transactions on Vehicular Technology","","2009","58","8","4088","4097","","","","10.1109/TVT.2009.2023324","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957085","Distributed applications;peer-to-peer (P2P) network;radio-frequency identification (RFID) system;vehicle locating","Vehicles;Radiofrequency identification;Protocols;Peer to peer computing;Radio frequency;Computer science;Road accidents;Intelligent transportation systems;Delay;Telecommunication traffic","automated highways;probability;query processing;road traffic;road vehicles","intelligent transportation system;public transportation;ShanghaiGrid;ANTS protocol;ant searching strategy;vehicle location;querying user;probability;network traffic;road network","","13","","","19 May 2009","","","IEEE","IEEE Conferences"
"Converged Optical Network Infrastructures in Support of Future Internet and Grid Services Using IaaS to Reduce GHG Emissions","S. Figuerola; M. Lemay; V. Reijs; M. Savoie; B. St. Arnaud","i2CAT Found., Barcelona; ; ; ; ","Journal of Lightwave Technology","","2009","27","12","1941","1946","","","","10.1109/JLT.2009.2022485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957086","Networks","Optical fiber networks;IP networks;Web and internet services;Carbon dioxide;Sun;Availability;Government;Production;Educational products;Communications technology","computer networks;environmental factors;grid computing;Internet;optical communication;optical fibre networks;renewable energy sources;telecommunication network planning","converged optical network;Internet service;grid service;IaaS;green house gas;renewable energy sites;infrastructure-as-a-service","","40","","","19 May 2009","","","IEEE","IEEE Conferences"
"DIAGNOSIS: A Telematics-Enabled System for Medical Image Archiving, Management, and Diagnosis Assistance","S. G. Mougiakakou; I. K. Valavanis; N. A. Mouravliansky; A. Nikita; K. S. Nikita","Sch. of Electr. & Comput. Eng., Nat. Tech. Univ. of Athens, Athens; Sch. of Electr. & Comput. Eng., Nat. Tech. Univ. of Athens, Athens; Sch. of Electr. & Comput. Eng., Nat. Tech. Univ. of Athens, Athens; ; Sch. of Electr. & Comput. Eng., Nat. Tech. Univ. of Athens, Athens","IEEE Transactions on Instrumentation and Measurement","","2009","58","7","2113","2120","","","","10.1109/TIM.2009.2015538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957087","Biomedical image processing;image storage;image texture analysis;medical decision-making;medical information systems;neural networks;visualization","Biomedical imaging;Medical diagnostic imaging;Image databases;Spatial databases;Visual databases;Telematics;Collaborative software;Digital images;Software algorithms;Image segmentation","computerised tomography;liver;medical image processing;telemedicine;visual databases","DIAGNOSIS;telematics enabled system;medical image archiving;medical image management;diagnosis assistance;digital image processing;database management;3D visualization;liver lesions;computed tomography","","13","","","19 May 2009","","","IEEE","IEEE Conferences"
"Numerical Rate Equation Modeling of a <formula formulatype="inline"> <tex Notation="TeX">${\sim {\hbox {2.1}}-}\mu{\hbox {m}}-{\rm Tm}^{3+}/{\rm Ho}^{3+}$</tex></formula> Co-Doped Tellurite Fiber Laser","C. A. Evans; Z. Ikonic; B. Richards; P. Harrison; A. Jha","Inst. of Microwaves & Photonics, Univ. of Leeds, Leeds, UK; Inst. of Microwaves & Photonics, Univ. of Leeds, Leeds, UK; Inst. of Mater. Res., Univ. of Leeds, Leeds, UK; Inst. of Microwaves & Photonics, Univ. of Leeds, Leeds, UK; Inst. of Mater. Res., Univ. of Leeds, Leeds, UK","Journal of Lightwave Technology","","2009","27","19","4280","4288","","","","10.1109/JLT.2009.2023337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957088","Cross-relaxation;energy transfer;Judd–Ofelt analysis;modeling;numerical analysis;optical fiber laser;tellurite glass;upconversion","Equations;Numerical models;Glass;Performance analysis;Performance evaluation;Optical materials;Fiber lasers;Laser modes;Data mining;Energy exchange","fibre lasers;glass fibres;holmium;Judd-Ofelt theory;optical glass;sodium compounds;tellurium compounds;thulium;zinc compounds","numerical rate equation modeling;holmium-thulium codoped tellurite fiber laser;Judd-Ofelt analysis;tellurite glass fiber;host-dependent Judd-Ofelt intensity parameters extraction;radiative rates calculation;energy transfer;upconversion rate parameters;wavelength 2.1 mum;TeO2:Tm3+,Ho3+;TeO2-ZnO-Na2O","","27","","","19 May 2009","","","IEEE","IEEE Conferences"
"Dynamic Programmable Scheduling Mechanism of GEPON","A. Yin; P. Zhang; W. Zhou; Y. Jiao","Huazhong Univ. of Sci. & Technol., Wuhan, China; Sch. of Inf. Eng., East China Jiaotong Univ., Nanchang, China; Sch. of Inf. Eng., East China Jiaotong Univ., Nanchang, China; Sch. of Inf. Eng., East China Jiaotong Univ., Nanchang, China","Journal of Lightwave Technology","","2009","27","19","4289","4296","","","","10.1109/JLT.2009.2023339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957089","Dynamic programmable scheduling mechanism;fair scheduling mechanism;GEPON","Dynamic scheduling;Optical network units;Job shop scheduling;Bandwidth;Channel allocation;Passive optical networks;Optical fiber networks;Authorization;Scheduling algorithm;Logic","bandwidth allocation;open systems;optical fibre LAN;scheduling;subscriber loops","gigabit-Ethernet passive optical network;GEPON;dynamic programmable scheduling;access network;polling mechanism;bandwidth allocation logic;interoperability","","1","","","19 May 2009","","","IEEE","IEEE Conferences"
"A Universal Formula for the Complete Bandpass Sampling Requirements of Nonlinear Systems","C. Tseng","Dept. of Electr. Eng., Nat. Taiwan Ocean Univ., Keelung, Taiwan","IEEE Transactions on Signal Processing","","2009","57","10","3869","3878","","","","10.1109/TSP.2009.2023356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957090","Aliasing;bandpass signals;nonlinear systems;sampling methods;signal sampling;spectral domain analysis;Volterra series","Sampling methods;Nonlinear systems;Signal sampling;Signal processing;Radio frequency;Linear systems;Signal analysis;Spectral analysis;Communication systems;High power amplifiers","nonlinear systems;signal sampling","bandpass sampling requirement;nonlinear system;bandpass sampling theory","","10","","","19 May 2009","","","IEEE","IEEE Conferences"
