"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Consensus and Cooperation in Networked Multi-Agent Systems","R. Olfati-Saber; J. A. Fax; R. M. Murray","Thayer Sch. of Eng., Dartmouth Coll., Hanover, NH; NA; NA","Proceedings of the IEEE","","2007","95","1","215","233","This paper provides a theoretical framework for analysis of consensus algorithms for multi-agent networked systems with an emphasis on the role of directed information flow, robustness to changes in network topology due to link/node failures, time-delays, and performance guarantees. An overview of basic concepts of information consensus in networks and methods of convergence and performance analysis for the algorithms are provided. Our analysis framework is based on tools from matrix theory, algebraic graph theory, and control theory. We discuss the connections between consensus problems in networked dynamic systems and diverse applications including synchronization of coupled oscillators, flocking, formation control, fast consensus in small-world networks, Markov processes and gossip-based algorithms, load balancing in networks, rendezvous in space, distributed sensor fusion in sensor networks, and belief propagation. We establish direct connections between spectral and structural properties of complex networks and the speed of information diffusion of consensus algorithms. A brief introduction is provided on networked systems with nonlocal information flow that are considerably faster than distributed systems with lattice-type nearest neighbor interactions. Simulation results are presented that demonstrate the role of small-world effects on the speed of consensus algorithms and cooperative control of multivehicle formations","1558-2256","","10.1109/JPROC.2006.887293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118472","Consensus algorithms;cooperative control;flocking;graph Laplacians;information fusion;multi-agent systems;networked control systems;synchronization of coupled oscillators","Multiagent systems;Performance analysis;Sensor fusion;Failure analysis;Information analysis;Algorithm design and analysis;Robustness;Network topology;Convergence;Matrices","control systems;multi-agent systems","networked multiagent systems;matrix theory;algebraic graph theory;control theory;networked dynamic systems;information diffusion;consensus algorithms;cooperative control;graph Laplacians;information fusion;networked control systems","","5619","","102","","","","","IEEE","IEEE Journals"
"Comparison of Photovoltaic Array Maximum Power Point Tracking Techniques","T. Esram; P. L. Chapman","Illinois Univ., Urbana, IL; Illinois Univ., Urbana, IL","IEEE Transactions on Energy Conversion","","2007","22","2","439","449","The many different techniques for maximum power point tracking of photovoltaic (PV) arrays are discussed. The techniques are taken from the literature dating back to the earliest methods. It is shown that at least 19 distinct methods have been introduced in the literature, with many variations on implementation. This paper should serve as a convenient reference for future work in PV power generation.","1558-0059","","10.1109/TEC.2006.874230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4207429","Maximum power point tracking (MPPT);photovoltaic (PV)","Photovoltaic systems;Solar power generation;Temperature;Costs;Convergence;Hardware;Bibliographies;Machinery;Sensor phenomena and characterization;Voltage","photovoltaic power systems","maximum power point tracking;PV power generation;photovoltaic array","","2894","","91","","","","","IEEE","IEEE Journals"
"Survey of Wireless Indoor Positioning Techniques and Systems","H. Liu; H. Darabi; P. Banerjee; J. Liu","Univ. of Illinois at Chicago, Chicago; NA; NA; NA","IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)","","2007","37","6","1067","1080","Wireless indoor positioning systems have become very popular in recent years. These systems have been successfully used in many applications such as asset tracking and inventory management. This paper provides an overview of the existing wireless indoor positioning solutions and attempts to classify different techniques and systems. Three typical location estimation schemes of triangulation, scene analysis, and proximity are analyzed. We also discuss location fingerprinting in detail since it is used in most current system or solutions. We then examine a set of properties by which location systems are evaluated, and apply this evaluation method to survey a number of existing systems. Comprehensive performance comparisons including accuracy, precision, complexity, scalability, robustness, and cost are presented.","1558-2442","","10.1109/TSMCC.2007.905750","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4343996","Indoor location sensing;location fingerprinting;positioning algorithm;radio frequency (RF);wireless localization","Wireless sensor networks;Fingerprint recognition;Radio frequency;Automation;Inventory management;Image analysis;Scalability;Robustness;Costs;Object detection","indoor radio;radiowave propagation","wireless indoor positioning technique;location fingerprinting","","2251","","78","","","","","IEEE","IEEE Journals"
"Compressive Sensing [Lecture Notes]","R. G. Baraniuk","NA","IEEE Signal Processing Magazine","","2007","24","4","118","121","This lecture note presents a new method to capture and represent compressible signals at a rate significantly below the Nyquist rate. This method, called compressive sensing, employs nonadaptive linear projections that preserve the structure of the signal; the signal is then reconstructed from these projections using an optimization process.","1558-0792","","10.1109/MSP.2007.4286571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4286571","","Vectors;Image coding;Transform coding;Image sampling;Digital cameras;Image storage;Signal processing;Data acquisition;Matrices;Bandwidth","data compression;Nyquist criterion;optimisation;signal reconstruction;signal representation","compressive sensing;nonadaptive linear projections;signal capturing;signal reconstruction;signal representation;optimization process;Nyquist rate","","2661","","10","","","","","IEEE","IEEE Magazines"
"Modeling, Analysis and Testing of Autonomous Operation of an Inverter-Based Microgrid","N. Pogaku; M. Prodanovic; T. C. Green","Dept. of Electr. & Electron. Eng., Imperial Coll. of Sci., Technol. & Med., London; Dept. of Electr. & Electron. Eng., Imperial Coll. of Sci., Technol. & Med., London; Dept. of Electr. & Electron. Eng., Imperial Coll. of Sci., Technol. & Med., London","IEEE Transactions on Power Electronics","","2007","22","2","613","625","The analysis of the small-signal stability of conventional power systems is well established, but for inverter based microgrids there is a need to establish how circuit and control features give rise to particular oscillatory modes and which of these have poor damping. This paper develops the modeling and analysis of autonomous operation of inverter-based microgrids. Each sub-module is modeled in state-space form and all are combined together on a common reference frame. The model captures the detail of the control loops of the inverter but not the switching action. Some inverter modes are found at relatively high frequency and so a full dynamic model of the network (rather than an algebraic impedance model) is used. The complete model is linearized around an operating point and the resulting system matrix is used to derive the eigenvalues. The eigenvalues (termed ""modes"") indicate the frequency and damping of oscillatory components in the transient response. A sensitivity analysis is also presented which helps identifying the origin of each of the modes and identify possible feedback signals for design of controllers to improve the system stability. With experience it is possible to simplify the model (reduce the order) if particular modes are not of interest as is the case with synchronous machine models. Experimental results from a microgrid of three 10-kW inverters are used to verify the results obtained from the model","1941-0107","","10.1109/TPEL.2006.890003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118327","Inverter;inverter model;microgrid;power control;small-signal stability","Power system modeling;Inverters;Stability analysis;Power system stability;Control systems;Damping;Frequency;Eigenvalues and eigenfunctions;Circuit testing;Circuit stability","control system synthesis;distributed power generation;eigenvalues and eigenfunctions;invertors;matrix algebra;power system stability;state-space methods;synchronous machines;transient response","autonomous operation testing;inverter-based microgrids;power system small-signal stability;oscillatory modes;state-space modeling;common reference frame;algebraic impedance model;system matrix;eigenvalues;oscillatory damping;transient response;synchronous machine models","","1337","","18","","","","","IEEE","IEEE Journals"
"Microgrids","N. Hatziargyriou; H. Asano; R. Iravani; C. Marnay","Athens Nat. Tech. Univ., Athens; NA; NA; NA","IEEE Power and Energy Magazine","","2007","5","4","78","94","This article outlines the ongoing research, development, and demonstrates the microgrid operation currently in progress in Europe, the United States, Japan, and Canada. The penetration of distributed generation (DG) at medium and low voltages is increasing in developed countries worldwide. Microgrids are entities that coordinate DERs (distributed energy resources) in a consistently more decentralized way, thereby reducing the control burden on the grid and permitting them to provide their full benefits. In the context of this article, a microgrid comprises a LV locally-controlled cluster of DERs that behaves, from the grid's perspective, as a single producer or both electrically and in energy markets. A microgrid operates safely and efficiently within its local distribution network, but it is also capable of islanding.","1558-4216","","10.1109/MPAE.2007.376583","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4263070","","Cogeneration;Control systems;Carbon dioxide;Heat engines;Waste heat;Power generation;Solar power generation;Wind turbines;Density estimation robust algorithm;Isolation technology","distributed power generation;distribution networks;power grids;research and development","microgrid operation;research and development;Europe;United States;Japan;Canada;distributed generation;DG penetration;distributed energy resources;DER;energy market;distribution network;islanding","","1541","","7","","","","","IEEE","IEEE Magazines"
"The State of the Art of Electric, Hybrid, and Fuel Cell Vehicles","C. C. Chan","Int. Res. Centre for Electr. Vehicles, Univ. of Hong Kong","Proceedings of the IEEE","","2007","95","4","704","718","With the more stringent regulations on emissions and fuel economy, global warming, and constraints on energy resources, the electric, hybrid, and fuel cell vehicles have attracted more and more attention by automakers, governments, and customers. Research and development efforts have been focused on developing novel concepts, low-cost systems, and reliable hybrid electric powertrain. This paper reviews the state of the art of electric, hybrid, and fuel cell vehicles. The topologies for each category and the enabling technologies are discussed","1558-2256","","10.1109/JPROC.2007.892489","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4168013","Electric drives;electric machines;electric vehicle;fuel cell vehicles;hybrid electric vehicle (HEV);modeling;power electronics","Fuel cell vehicles;Hybrid electric vehicles;Internal combustion engines;Mechanical power transmission;Electric machines;Power electronics;Fuel economy;Control theory;Global warming;Government","electric drives;electric machines;fuel cell vehicles;hybrid electric vehicles","hybrid electric vehicles;fuel cell vehicles;fuel economy;global warming;energy resources;hybrid electric powertrain;electric drives;electric machines;power electronics","","1015","","10","","","","","IEEE","IEEE Journals"
"A Voltage and Frequency Droop Control Method for Parallel Inverters","K. De Brabandere; B. Bolsens; J. Van den Keybus; A. Woyte; J. Driesen; R. Belmans","Katholieke Univ. Leuven, Leuven; Katholieke Univ. Leuven, Leuven; Katholieke Univ. Leuven, Leuven; NA; NA; NA","IEEE Transactions on Power Electronics","","2007","22","4","1107","1115","In this paper, a new control method for the parallel operation of inverters operating in an island grid or connected to an infinite bus is described. Frequency and voltage control, including mitigation of voltage harmonics, are achieved without the need for any common control circuitry or communication between inverters. Each inverter supplies a current that is the result of the voltage difference between a reference ac voltage source and the grid voltage across a virtual complex impedance. The reference ac voltage source is synchronized with the grid, with a phase shift, depending on the difference between rated and actual grid frequency. A detailed analysis shows that this approach has a superior behavior compared to existing methods, regarding the mitigation of voltage harmonics, short-circuit behavior and the effectiveness of the frequency and voltage control, as it takes the R to X line impedance ratio into account. Experiments show the behavior of the method for an inverter feeding a highly nonlinear load and during the connection of two parallel inverters in operation.","1941-0107","","10.1109/TPEL.2007.900456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4267747","Autonomous power systems;converter control;dispersed generation;finite output-impedance ac voltage source emulation;frequency and voltage droops;harmonics;parallel connection;power quality;microgrids;stand-alone systems;uninterruptible power supplies (UPS);virtual impedance;voltage source inverter;mixed voltage-current control","Frequency;Voltage control;Inverters;Communication system control;Impedance;Power system harmonics;Uninterruptible power systems;Control systems;Circuits;Proportional control","frequency control;harmonics suppression;invertors;power supply quality;uninterruptible power supplies;voltage control","voltage droop control;frequency droop control;parallel inverters;island grid;infinite bus;short-circuit behavior;nonlinear load;autonomous power systems;converter control;dispersed generation;finite output-impedance;power quality;stand-alone systems;uninterruptible power supplies;virtual impedance;voltage source inverter;mixed voltage-current control;short-circuit behavior","","880","","21","","","","","IEEE","IEEE Journals"
"MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition","Q. Zhang; H. Li","Essex Univ., Colchester; Essex Univ., Colchester","IEEE Transactions on Evolutionary Computation","","2007","11","6","712","731","Decomposition is a basic strategy in traditional multiobjective optimization. However, it has not yet been widely used in multiobjective evolutionary optimization. This paper proposes a multiobjective evolutionary algorithm based on decomposition (MOEA/D). It decomposes a multiobjective optimization problem into a number of scalar optimization subproblems and optimizes them simultaneously. Each subproblem is optimized by only using information from its several neighboring subproblems, which makes MOEA/D have lower computational complexity at each generation than MOGLS and nondominated sorting genetic algorithm II (NSGA-II). Experimental results have demonstrated that MOEA/D with simple decomposition methods outperforms or performs similarly to MOGLS and NSGA-II on multiobjective 0-1 knapsack problems and continuous multiobjective optimization problems. It has been shown that MOEA/D using objective normalization can deal with disparately-scaled objectives, and MOEA/D with an advanced decomposition method can generate a set of very evenly distributed solutions for 3-objective test instances. The ability of MOEA/D with small population, the scalability and sensitivity of MOEA/D have also been experimentally investigated in this paper.","1941-0026","","10.1109/TEVC.2007.892759","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4358754","Computational complexity;decomposition;evolutionary algorithm;multiobjective optimization;Pareto optimality;Computational complexity;decomposition;evolutionary algorithm;multiobjective optimization;Pareto optimality","Evolutionary computation;Pareto optimization;Computational complexity;Sorting;Genetic algorithms;Optimization methods;Testing;Scalability;Computer science;Mathematical model","computational complexity;genetic algorithms","multiobjective evolutionary algorithm;scalar optimization subproblem;computational complexity;genetic algorithm;knapsack problem;decomposition","","2906","","40","","","","","IEEE","IEEE Journals"
"Image Denoising by Sparse 3-D Transform-Domain Collaborative Filtering","K. Dabov; A. Foi; V. Katkovnik; K. Egiazarian","Inst. of Signal Process., Tampere Univ. of Technol., Tampere, Finland; Inst. of Signal Process., Tampere Univ. of Technol., Tampere, Finland; Inst. of Signal Process., Tampere Univ. of Technol., Tampere, Finland; Inst. of Signal Process., Tampere Univ. of Technol., Tampere, Finland","IEEE Transactions on Image Processing","","2007","16","8","2080","2095","We propose a novel image denoising strategy based on an enhanced sparse representation in transform domain. The enhancement of the sparsity is achieved by grouping similar 2D image fragments (e.g., blocks) into 3D data arrays which we call ""groups."" Collaborative Altering is a special procedure developed to deal with these 3D groups. We realize it using the three successive steps: 3D transformation of a group, shrinkage of the transform spectrum, and inverse 3D transformation. The result is a 3D estimate that consists of the jointly filtered grouped image blocks. By attenuating the noise, the collaborative filtering reveals even the finest details shared by grouped blocks and, at the same time, it preserves the essential unique features of each individual block. The filtered blocks are then returned to their original positions. Because these blocks are overlapping, for each pixel, we obtain many different estimates which need to be combined. Aggregation is a particular averaging procedure which is exploited to take advantage of this redundancy. A significant improvement is obtained by a specially developed collaborative Wiener filtering. An algorithm based on this novel denoising strategy and its efficient implementation are presented in full detail; an extension to color-image denoising is also developed. The experimental results demonstrate that this computationally scalable algorithm achieves state-of-the-art denoising performance in terms of both peak signal-to-noise ratio and subjective visual quality.","1941-0042","","10.1109/TIP.2007.901238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4271520","Adaptive grouping;block matching;image denoising;sparsity;3-D transform shrinkage","Image denoising;Collaboration;Filtering;Noise reduction;Signal processing algorithms;Signal processing;Energy resolution;Spatial resolution;Signal resolution;Discrete cosine transforms","image colour analysis;image denoising;image enhancement;image representation;Wiener filters","image denoising;3D transform-domain collaborative filter;sparse representation;image fragment;image enhancement;Wiener filter","Algorithms;Artifacts;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Reproducibility of Results;Sensitivity and Specificity","3274","","23","","","","","IEEE","IEEE Journals"
