"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research and practice on software engineering undergraduate curriculum NJU-SEC2006","E. Ding; B. Luo; D. Zhang; J. Ge; D. Shao; H. Wang","State Key Laboratory for Novel Software Technology, Nanjing University, Software Institute, Nanjing University, Nanjing, 210093, PR China; State Key Laboratory for Novel Software Technology, Nanjing University, Software Institute, Nanjing University, Nanjing, 210093, PR China; State Key Laboratory for Novel Software Technology, Nanjing University, Software Institute, Nanjing University, Nanjing, 210093, PR China; State Key Laboratory for Novel Software Technology, Nanjing University, Software Institute, Nanjing University, Nanjing, 210093, PR China; State Key Laboratory for Novel Software Technology, Nanjing University, Software Institute, Nanjing University, Nanjing, 210093, PR China; State Key Laboratory for Novel Software Technology, Nanjing University, Software Institute, Nanjing University, Nanjing, 210093, PR China","2011 24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T)","16 Jun 2011","2011","","","492","496","Training a large number of qualified software engineers is a great challenge for universities, and curriculum design is an important issue. Based on IEEE-CS/ACM SE2004, Nanjing University in China designs the software engineering undergraduate curriculum NJU-SEC2006. There are three main concerns about the curriculum design. Firstly, the knowledge delivering sequence is designed to match the different scales (small/medium/large) software development. Secondly, the knowledge of professional practices is integrated into courses throughout the whole undergraduate program. Thirdly, traditional computer science courses are reformed according to the situation of China. NJU-SEC2006 has been executed for years, and received positive feedback from students, instructors and employers.","2377-570X","978-1-4577-0348-5","10.1109/CSEET.2011.5876131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5876131","","Software engineering;Programming;Teamwork;Training;Software systems","computer science education;educational courses;educational institutions;software engineering","curriculum design;software development;computer science courses;software engineering undergraduate curriculum;NJU-SEC2006;Nanjing University;China;knowledge delivering sequence","","2","","6","","16 Jun 2011","","","IEEE","IEEE Conferences"
"NJU head: an active head-eye system","Z. Y. Zhang; B. Z. Yuan","Inst. of Inf. Sci., Northern Jiaotong Univ., Beijing, China; NA","1997 IEEE International Conference on Intelligent Processing Systems (Cat. No.97TH8335)","6 Aug 2002","1997","2","","1760","1764 vol.2","Active vision is a focus topic in the field of computer vision. Designing and constructing active vision systems which perform different visual functions analogous to those of human vision system is considered as the core of the subject. In this paper, we describe our work on the design and construction of NJU head-eye platform which is similar to but different in many aspects from the KTH head developed in CVAP, Royal Institute of Technology of Sweden. The NJU head consists of two eye modules, each of which can perform its own independent pan and tilt motions. A neck module drives the head to perform pan and tilt motions which are independent of those of the eye modules. In addition, the two cameras of the head-eye platform can focus and zoom according to the changing environments. The length of the baseline of the binocular system is adjustable.","","0-7803-4253-4","10.1109/ICIPS.1997.669357","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=669357","","Machine vision;Computer vision;Humans;Neck;Cameras","active vision;robot vision","active vision;computer vision;NJU head-eye platform;eye modules;neck module;pan and tilt motions","","","","13","","6 Aug 2002","","","IEEE","IEEE Conferences"
"CBUA: A probabilistic, predictive, and practical approach for evaluating test suite effectiveness","P. Zhang; Y. Li; W. Ma; Y. Yang; L. Chen; H. Lu; Y. Zhou; B. Xu","State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: DZ1833034@smail.nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: yanhuili@nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: wwyma@smail.nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: yangyibiao@nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: lchen@nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: 32493172@qq.com); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: zhouyuming@nju.edu.cn); bwxu@nju.edu.cn, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: bwxu@nju.edu.cn)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Knowing the effectiveness of a test suite is essential for many activities such as guiding the generation of new test cases and assessing the test adequacy of code. Mutation testing is a commonly used defect injection technique for evaluating the effectiveness of a test suite. However, it is usually computationally expensive, as a large number of mutants (buggy versions) are needed to be generated from a production code under test and executed against the test suite. In order to reduce the expensive testing cost, recent studies proposed to use supervised models to predict the effectiveness of a test suite without executing the test suite against the mutants. Nonetheless, the training of such a supervised model requires labeled data, which still depends on the costly mutant execution. Furthermore, existing models are based on traditional supervised learning techniques, which assumes that the training and testing data come from the same distribution. But, in practice, software systems are subject to considerable concept drifts, i.e. the same distribution assumption usually does not hold. This can lead to inaccurate predictions of a learned supervised model on the target code as time progresses. To tackle these problems, in this paper, we propose a Coverage-Based Unsupervised Approach (CBUA) for evaluating the effectiveness of a test suite. The whole process only requires a one-time execution of the test suite against the target production code, without involving any mutant execution and any training data. CBUA can ensure the score monotonicity property (i.e. adding test cases to a test suite does not decrease its mutation score), which may be violated by a supervised approach. The experimental results show that CBUA is very competitive to the state-of-the-art supervised approaches in terms of the prediction accuracy. Since CBUA is an easy-to-implement model with a low cost, we suggest that it should be used as a baseline approach for comparison when any novel prediction approach is proposed in future studies.","1939-3520","","10.1109/TSE.2020.3010361","the National Key R and D Program of China; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9144443","Effectiveness;test suites;coverage;unsupervised model;mutation testing","Testing;Predictive models;Production;Data models;Computational modeling;Training;Training data","","","","","","","","20 Jul 2020","","","IEEE","IEEE Early Access Articles"
"Terahertz (THz) Direct Detectors based on Superconducting HEBs with Thermal, Microwave and THz Biasing","R. F. Su; Y. D. Zhang; X. C. Tu; X. Q. Jia; L. Kang; B. B. Jin; W. W. Xu; J. Chen; P. H. Wu","Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China; Research Institute of Superconductor Electronics (RISE), School of Electronic Science and Engineering, Nanjing University (NJU), Nanjing, 210023, People's Republic of China","2018 43rd International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)","28 Oct 2018","2018","","","1","2","Terahertz (THz) direct detectors based on superconducting niobium nitride (NbN) hot electron bolometers (HEBs) with thermal, microwave (MW) and THz biasing have been studied at 0.65 THz and 4.2 K in detail. The current responsivity and noise equivalent power (NEP) have been measured and compared respectively. The detectors with the MW and THz biasing have about one order higher current responsivity than that of the thermal one. With the MW biasing, an NEP at the order of pW/√Hz is obtained by choosing the MW frequency and power appropriately.","2162-2035","978-1-5386-3809-5","10.1109/IRMMW-THz.2018.8509983","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8509983","","Superconducting microwave devices;Detectors;Bolometers;Superconducting device noise;Mixers;Superconducting photodetectors;Optical filters","bolometers;electric current measurement;electric noise measurement;microwave detectors;microwave measurement;niobium compounds;power measurement;submillimetre wave detectors;submillimetre wave imaging;submillimetre wave measurement;superconducting devices;temperature measurement;temperature sensors;terahertz wave detectors","terahertz direct detectors;superconducting HEB;noise equivalent power measurement;THz direct detectors;superconducting hot electron bolometers;NEP measurement;MW biasing detectors;THz biasing detectors;thermal biasing detectors;one order higher current responsivity;temperature 4.2 K;frequency 0.65 THz;NbN","","","","5","","28 Oct 2018","","","IEEE","IEEE Conferences"
"RF-3DScan: RFID-based 3D Reconstruction on Tagged Packages","Y. Bu; L. Xie; Y. Gong; J. Liu; B. He; J. Cao; B. Ye; S. Lu","State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu China (e-mail: yanling@smail.nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu China 210023 (e-mail: lxie@nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu China (e-mail: yygong@dislab.nju.edu.cn); Computer Science and Technology, Nanjing University, Nanjing, Jiangsu China (e-mail: jialiu@nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu China (e-mail: hebb@dislab.nju.edu.cn); Computing, The Hong Kong Polytechnic University, Hong Kong, Hong Kong China 00000 (e-mail: csjcao@comp.polyu.edu.hk); Department of Computer Science and Technology, Nanjing University, China, Nanjing, Jiangsu China 210046 (e-mail: yebl@nju.edu.cn); Computer Science and Technology, Nanjing University, Nanjing, Jiangsu China (e-mail: sanglu@nju.edu.cn)","IEEE Transactions on Mobile Computing","","2019","PP","99","1","1","Currently, the logistic industry has introduced 3D reconstruction to monitor the package placement in the warehouse. Previous 3D reconstruction solutions mainly utilize computer vision or sensor-based methods, which are restricted to the line-of-sight or the battery life. Therefore, we propose a passive RFID-based solution, called RF-3DScan, to perform 3D reconstruction on tagged packages, including the package orientation and the package stacking. The basic idea is that a moving antenna can obtain RF-signals from the tags attached on packages with the 1D linear mobile scanning. Through extracting phase differences to build angle profiles for each tag, RF-3DScan derives their relative positions, further determine the package orientation and the coarse-grained package stacking. By simply performing the 2D scanning, RF-3DScan can provide fine-grained package stacking determination. We implement a prototype system of RF-3DScan and evaluate its performance in real settings. Our experiment results show that RF-3DScan can achieve about 92.5% identification accuracy of the bottom face, and average error about 4.08° of the rotation angle. For the package stacking, 1D scanning can achieve the comparable performance in comparison with 2D scanning.","1558-0660","","10.1109/TMC.2019.2943853","Hong Kong RGC Research Impact Fund; National Natural Science Foundation of China; Shenzhen Basic Research Funding Scheme; National Key Research and Development Program of China; Natural Science Foundation of Jiangsu Province; Jiangsu Provincial Key Research and Development Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8848608","RFID;3D reconstruction;package orientation;package stacking","Three-dimensional displays;Stacking;Two dimensional displays;Passive RFID tags;Logistics","","","","","","","","25 Sep 2019","","","IEEE","IEEE Early Access Articles"
"Low-dark-current metal-semiconductor-metal ultraviolet photodetector fabricated on homoepitaxial GaN","Z. Xue; H. Lu; C. Miao; D. Chen; R. Zhang; Y. Zheng","(Nanjing National Laboratory of Microstructures, Jiangsu Provincial Key Laboratory of Advanced Photonic and Electronic Materials, Nanjing University, Nanjing 210093, People's Republic of China) E-mail: hailu@nju.edu.cn The authors are also with the Department of Physics, Nanjing University.; (Nanjing National Laboratory of Microstructures, Jiangsu Provincial Key Laboratory of Advanced Photonic and Electronic Materials, Nanjing University, Nanjing 210093, People's Republic of China) E-mail: hailu@nju.edu.cn The authors are also with the Department of Physics, Nanjing University.; (Nanjing National Laboratory of Microstructures, Jiangsu Provincial Key Laboratory of Advanced Photonic and Electronic Materials, Nanjing University, Nanjing 210093, People's Republic of China) E-mail: hailu@nju.edu.cn The authors are also with the Department of Physics, Nanjing University.; (Nanjing National Laboratory of Microstructures, Jiangsu Provincial Key Laboratory of Advanced Photonic and Electronic Materials, Nanjing University, Nanjing 210093, People's Republic of China) E-mail: hailu@nju.edu.cn The authors are also with the Department of Physics, Nanjing University.; (Nanjing National Laboratory of Microstructures, Jiangsu Provincial Key Laboratory of Advanced Photonic and Electronic Materials, Nanjing University, Nanjing 210093, People's Republic of China) E-mail: hailu@nju.edu.cn The authors are also with the Department of Physics, Nanjing University.; (Nanjing National Laboratory of Microstructures, Jiangsu Provincial Key Laboratory of Advanced Photonic and Electronic Materials, Nanjing University, Nanjing 210093, People's Republic of China) E-mail: hailu@nju.edu.cn The authors are also with the Department of Physics, Nanjing University.","Electronics Letters","12 Jun 2009","2009","45","12","651","652","A low-dark-current (~5~pA at 20~V bias) metal-semiconductor-metal ultraviolet photodetector fabricated on a GaN homoepitaxial layer grown by metal organic chemical vapour deposition is reported. The dislocation density of the homoepitaxial layer characterised by the cathodoluminescence mapping technique is of the order of mid-106 cm-2. The photodetector exhibits a sharp band-edge cutoff with a peak responsivity of 0.27 A/W at 362 nm under 5 V bias, corresponding to a quantum efficiency of 92.4 . Overall photo-responsivity increases as a function of applied bias, indicating that an internal gain mechanism still exists.","0013-5194","","10.1049/el.2009.0609","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5069793","","","chemical vapour deposition;gallium compounds;metal-semiconductor-metal structures;photodetectors","low-dark-current metal-semiconductor-metal ultraviolet photodetector;homoepitaxial layer;metal organic chemical vapour deposition;cathodoluminescence mapping technique;efficiency 92.4 percent;current 5 pA;voltage 20 V;voltage 5 V;GaN","","","","","","12 Jun 2009","","","IET","IET Journals"
"Snow Particle Size Distribution From a 2-D Video Disdrometer and Radar Snowfall Estimation in East China","R. Tao; K. Zhao; H. Huang; L. Wen; G. Zhang; A. Zhou; H. Chen","School of Atmospheric Sciences, Nanjing University, Nanjing 210023, China, and also with the State Key Laboratory of Severe Weather, Joint Center for Atmospheric Radar Research of CMA/NJU, Beijing 100081, China.; School of Atmospheric Sciences, Nanjing University, Nanjing 210023, China, and also with the State Key Laboratory of Severe Weather, Joint Center for Atmospheric Radar Research of CMA/NJU, Beijing 100081, China (e-mail:zhaokun@nju.edu.cn); School of Atmospheric Sciences, Nanjing University, Nanjing 210023, China, and also with the State Key Laboratory of Severe Weather, Joint Center for Atmospheric Radar Research of CMA/NJU, Beijing 100081, China (e-mail:huanghao@nju.edu.cn); Xichang Satellite Launch Center (XSLC), Xichang 615000, China.; School of Meteorology, The University of Oklahoma, Norman, OK 73019, USA.; School of Atmospheric Sciences, Nanjing University, Nanjing 210023, China, and also with the State Key Laboratory of Severe Weather, Joint Center for Atmospheric Radar Research of CMA/NJU, Beijing 100081, China.; Physical Sciences Division (PSD), NOAA Earth System Research Laboratory, Boulder, CO 80305 USA, and also with the Cooperative Institute for Research in the Atmosphere (CIRA), Fort Collins, CO 80523 USA.","IEEE Transactions on Geoscience and Remote Sensing","","2020","PP","99","1","12","In this study, as part of an effort to study snowfall characteristics and quantify winter precipitation in East China, we investigated the microphysical properties of snowfall, including size, shape, density, and terminal velocity using a 2-D video disdrometer (2-DVD) and a weighing precipitation gauge in Nanjing (NJ), East China during the winters of 2015-2019. We obtained larger snow density and terminal velocity values than those reported in the literature for this region. Higher snow density could account for higher snowflake terminal velocity, after removing the effects of observation altitude and surface temperature. We then fit the snow particle size distributions (PSDs) to the gamma model and explored the interrelationships among the model parameters and snowfall rate (SR). The relationship between radar reflectivity factor (Zₑ) and SR was derived based on snow PSD measurements and the snow density relation. Using this Zₑ-SR relationship, the estimated liquid-equivalent SRs are obtained from S-band NJ radar data collected during several snowfall events. Radar-inferred SRs showed reasonable agreement with those measured on the ground, with a mean absolute error of 16% for the collected snowfall events in NJ.","1558-0644","","10.1109/TGRS.2020.2990920","National Basic Research Program of China (973 Program); National Natural Science Foundation of China; Open Research Program of the State Key Laboratory of Severe Weather; 5th 333 High-Level Personnel Training Project of Jiangsu Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9096578","Disdrometer;microphysical characteristics;snow;snowfall estimation;weather radar.","Snow;Estimation;Rain;Instruments;Radar measurements","","","","","","","","19 May 2020","","","IEEE","IEEE Early Access Articles"
"Prediction algorithm of key design parameters for space chaotic optical communication system","M. Li; H. Zeng; Y. Yang; Y. Guo; J. Li","Institute of Optical Communication Engineering, School of Management and Engineering, Nanjing University, Nanjing, Jiangsu China 210093 (e-mail: limi@nju.edu.cn); Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: MF1834001@smail.nju.edu.cn); Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: 171870043@smail.nju.edu.cn); Institute of Optical Communication Engineering, Nanjing University, Nanjing, Jiangsu China (e-mail: mg1934005@smail.nju.edu.cn); Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: jiahanl_nju@163.com)","IEEE Photonics Journal","","2020","PP","99","1","1","Space laser optical communication has been widely investigated to achieve high bit rate information transmission. To enhance the information transmission security in space optical laser communication, chaos-based encryption scheme is adopted. It involves many parameters in designing a space chaotic optical communication system, which a proper tuning of them brings good communication performance. To investigate the key design parameters including the masking efficiency, transmitting optical power and mismatch coefficient, we give the calculation model of the bit error ratio (BER) based on traditional space laser optical communication system from the perspective of the authorized receiver and eavesdropper. Numerical results indicate that the BER for the eavesdropper is sensitive to the masking efficiency but not to the transmitting optical power. By contrast, the transmitting optical power plays a crucial role in the computational formula of the BER for the authorized receiver. A saturate optical power is also proposed at last which helps save the energy. These simulation results can be reference for practical system design.","1943-0655","","10.1109/JPHOT.2020.3010838","Six Talent Peaks Project in Jiangsu Province; National Natural Science Foundation of China; Jiangsu Provincial Natural Science Foundation of China; Fundamental Research Funds for the Central Universities; Joint Funds of Space Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9145590","Space laser optical communication;chaos;bit rate;masking efficiency","Chaotic communication;Optical fiber communication;Optical receivers;Optical fibers","","","","","","","CCBY","21 Jul 2020","","","IEEE","IEEE Early Access Articles"
"How and How Much Should We Disclose?","K. Dong; W. Lu; Z. Qin; Y. Huang; X. Tao; J. Lu","State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, NO. 22 Han Kou Road, Nanjing 210093, China. dongkai@ics.nju.edu.cn; State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, NO. 22 Han Kou Road, Nanjing 210093, China. luwt@ics.nju.edu.cn; State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, NO. 22 Han Kou Road, Nanjing 210093, China. qinzhen@ics.nju.edu.cn; State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, NO. 22 Han Kou Road, Nanjing 210093, China. yuhuang@nju.edu.cn; State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, NO. 22 Han Kou Road, Nanjing 210093, China. txp@nju.edu.cn; State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, NO. 22 Han Kou Road, Nanjing 210093, China. lj@nju.edu.cn","2008 Third International Conference on Pervasive Computing and Applications","13 Feb 2009","2008","1","","179","184","Privacy risks result in great barriers to the long-term success of pervasive computing. Unfortunately, related researches can still be considered in its infancy. Access control is widely used for privacy protection. However, traditional access control methods can only negating or approving accesses, greatly lacking flexibility. In this paper, we introduce the disclosing degree for end-users to precisely and flexibly specify their privacy requirements. We implement a disclosing degree based scheme in the middleware Shadow for privacy protection. We also demonstrate the effectiveness of our scheme by comprehensive case-studies.","","978-1-4244-2020-9","10.1109/ICPCA.2008.4783571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4783571","Pervasive Computing;Privacy protection;Access Control;Information Imperfection;Disclosing Degree","Wireless sensor networks;Memory;Distributed control;Energy consumption;Query processing;Space technology;Energy storage;Costs;Computerized monitoring;Databases","data privacy;middleware;ubiquitous computing","privacy risks;pervasive computing;access control;privacy protection;disclosing degree;Shadow middleware","","","","10","","13 Feb 2009","","","IEEE","IEEE Conferences"
"GUI-Guided Test Script Repair for Mobile Apps","M. Pan; T. Xu; Y. Pei; Z. Li; T. Zhang; X. Li","State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: mxp@nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: dz1633014@smail.nju.edu.cn); Department of Computing, Hong Kong Polytechnic University, 26680 Kowloon, Hong Kong Hong Kong (e-mail: maximilian.pei@gmail.com); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: mg1733033@smail.nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: ztluck@nju.edu.cn); State Key Laboratory for Novel Software Technology, Nanjing University, 12581 Nanjing, Jiangsu China (e-mail: lxd@nju.edu.cn)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Graphical User Interface (GUI) testing is widely used to test mobile apps. As mobile apps are frequently updated and need repeated testing, to reduce the test cost, their test cases are often coded as scripts to enable automated execution using test harnesses/tools. When those mobile apps evolve, many of the test scripts, however, may become broken due to changes made to the app GUIs. While it is desirable that the broken scripts get repaired, doing it manually can be preventively expensive if the number of tests need repairing is large. We propose in this paper a novel approach named METER to repairing broken GUI test scripts automatically when mobile apps evolve. METER leverages computer vision techniques to infer GUI changes between two versions of a mobile app and uses the inferred changes to guide the repair of GUI test scripts. Since METER only relies on screenshots to repair GUI tests, it is applicable to apps targeting open or closed source mobile platforms. In experiments conducted on 22 Android apps and 6 iOS apps, repairs produced by METER helped preserve 63.7% and 38.8% of all the test actions broken by the GUI changes, respectively.","1939-3520","","10.1109/TSE.2020.3007664","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9136844","","","","","","","","","","8 Jul 2020","","","IEEE","IEEE Early Access Articles"
