"GABA-ergic Modulation of Prefrontal Spatio-temporal Activation Pattern during Emotional Processing: A Combined fMRI/MEG Study with Placebo and Lorazepam","G. Northoff; T. Witze; A. Richter; M. Gessner; F. Schlagenhauf; J. Fell; F. Baumgart; T. Kaulisch; C. Tempelmann; A. Heinzel; R. Kötter; T. Hagner; B. Barge; H. Hinrichs; B. Bogerts; H. Scheich; H. Heinze","Harvard University; Otto-von-Guericke University of Magde-burg; Otto-von-Guericke University of Magde-burg; Otto-von-Guericke University of Magde-burg; Otto-von-Guericke University of Magde-burg; Otto-von-Guericke University of Magde-burg; Leibnitz Institute for Neuro-biology; Leibnitz Institute for Neuro-biology; Otto-von-Guericke University of Magde-burg; Harvard University; University of Düsseldorfxs; Otto-von-Guericke University of Magde-burg; Otto-von-Guericke University of Magde-burg; Otto-von-Guericke University of Magde-burg; Otto-von-Guericke University of Magde-burg; Leibnitz Institute for Neuro-biology; Otto-von-Guericke University of Magde-burg","Journal of Cognitive Neuroscience","","2002","14","3","348","370","","","","10.1162/089892902317361895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/6790097","","","","","","1","","","","","","MITP","IEEE Conferences"
"Visual Integration of Meteorological and Sensor Data for Identifying Suspicious Company Behavior","D. Seebacher; B. Schneider; M. Behrisch","University of Konstanz; University of Konstanz; Harvard University","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","","2017","","","225","226","","","","10.1109/VAST.2017.8585436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8585436","","Chemicals;Monitoring;Companies;Wind speed;Visualization;Task analysis;Time series analysis","air pollution;data analysis;data integration;data visualisation;environmental science computing;pattern recognition;wind","visual integration;noxious gases;nature preserve;interactive visualizations;visual-interactive approach;wind data;meteorological data;VAST 2017 Mini-Challenge 2;data exploration;suspicious pattern analysis;chemical release;key polluter identification;suspicious company behavior identification;sensor data","","","","","","","","IEEE","IEEE Conferences"
"Acknowledgments","K. S. Gallagher; X. Xuan; J. P. Holdren; J. Zhang; M. E. Kraft; S. Kamieniecki","Tufts University; ; Harvard University; State Council of China; University of Wisconsin-Green Bay; University of California","Titans of the Climate: Explaining Policy Process in the United States and China","","","","","1","1","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8618108","","Collaboration;Bibliographies;Presses;Government","","","","","","","","","","MIT Press","IEEE Conferences"
"High-Dimensionality Data Reduction with Java","E. Villalón","Harvard University","Computing in Science & Engineering","","2008","10","5","64","69","","","","10.1109/MCSE.2008.134","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/4604507","Java;video analysis;statistical methods;and computation on matrices.","Java;Videos;Frequency;Data mining;Information analysis;Histograms;Image analysis;Image color analysis;Spatial databases;Performance analysis","data compression;data reduction;data visualisation;feature extraction;image classification;image colour analysis;Java;mathematics computing;multimedia computing;statistical analysis;video coding","high-dimensionality data reduction;Java multimedia framework;statistical software;Colt project;Internet site;data set graphical visualization;structural feature detection;video compression;image colour analysis;similar data set classification","","","","","","","","IEEE","IEEE Conferences"
"Acknowledgments","J. Gans; A. Leigh; L. H. Summers","University of Toronto; ; Harvard University","Innovation + Equality: How to Create a Future That Is More Star Trek Than Terminator","","","","","xi","xi","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8896794","","","","","","","","","","","","MIT Press","IEEE Conferences"
"Appendix: Chronology of Climate Policies in China and the United States","K. S. Gallagher; X. Xuan; J. P. Holdren; J. Zhang; M. E. Kraft; S. Kamieniecki","Tufts University; ; Harvard University; State Council of China; University of Wisconsin-Green Bay; University of California","Titans of the Climate: Explaining Policy Process in the United States and China","","","","","165","209","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8618104","","Meteorology;Technological innovation;Energy consumption;Carbon dioxide;Coal;Economic indicators;Urban areas","","","","","","","","","","MIT Press","IEEE Conferences"
"5 Does Innovation Cause Inequality?","J. Gans; A. Leigh; L. H. Summers","University of Toronto; ; Harvard University","Innovation + Equality: How to Create a Future That Is More Star Trek Than Terminator","","","","","61","73","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8896796","","","","","","","","","","","","MIT Press","IEEE Conferences"
"Titans of the Climate","K. S. Gallagher; X. Xuan; J. P. Holdren; J. Zhang; M. E. Kraft; S. Kamieniecki","Tufts University; ; Harvard University; State Council of China; University of Wisconsin-Green Bay; University of California","Titans of the Climate: Explaining Policy Process in the United States and China","","","","","1","7","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8618106","","Meteorology;Presses","","","","","","","","","","MIT Press","IEEE Conferences"
"3 Comparing Policymaking Structures, Actors, Processes, and Approaches","K. S. Gallagher; X. Xuan; J. P. Holdren; J. Zhang; M. E. Kraft; S. Kamieniecki","Tufts University; ; Harvard University; State Council of China; University of Wisconsin-Green Bay; University of California","Titans of the Climate: Explaining Policy Process in the United States and China","","","","","37","84","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8618100","","Meteorology;Government;Interviews;Social network services;Sociology;Statistics;IEEE Regions","","","","","","","","","","MIT Press","IEEE Conferences"
"3 Superpowers or Annihilation?","J. Gans; A. Leigh; L. H. Summers","University of Toronto; ; Harvard University","Innovation + Equality: How to Create a Future That Is More Star Trek Than Terminator","","","","","23","44","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8896801","","","","","","","","","","","","MIT Press","IEEE Conferences"
