"BigSpa: An Efficient Interprocedural Static Analysis Engine in the Cloud","Z. Zuo; R. Gu; X. Jiang; Z. Wang; Y. Huang; L. Wang; X. Li","Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 IEEE International Parallel and Distributed Processing Symposium (IPDPS)","","2019","","","771","780","","","","10.1109/IPDPS.2019.00086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8820963","static analysis;mapreduce;data parallel computation","","Big Data;cloud computing;parallel algorithms;program diagnostics;reachability analysis","cluster scales;static program analysis;large-scale modern software;data-parallel algorithm;join-process-filter computation model;CFL-reachability based interprocedural analysis;BigSpa;interprocedural static analysis engine;big data solution;distributed static analysis engine;cloud computing","","","","","","","","IEEE","IEEE Conferences"
"Efficient Rate Adaptation for 802.11af TVWS Vehicular Access via Deep Learning","W. Xu; C. Ma; S. Guo; H. Zhou","The Hong Kong Polytechnic University; Wuhan University; The Hong Kong Polytechnic University; Nanjing University","2019 IEEE Global Communications Conference (GLOBECOM)","","2019","","","1","6","","","","10.1109/GLOBECOM38437.2019.9014062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/9014062","","Time series analysis;Machine learning;Signal to noise ratio;Roads;Throughput;Wireless communication;Transceivers","","","","","","","","","","IEEE","IEEE Conferences"
"Exploring Communities in Large Profiled Graphs (Extended Abstract)","Y. Chen; Y. Fang; R. Cheng; Y. Li; X. Chen; J. Zhang","The University of Hong Kong; The University of Hong Kong; The University of Hong Kong; Nanjing University; Shenzhen University; Nanyang Technological University","2019 IEEE 35th International Conference on Data Engineering (ICDE)","","2019","","","2159","2160","","","","10.1109/ICDE.2019.00274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8731531","community search;social networks;graph queries;profiled graph","Indexes;Artificial intelligence;Collaboration;Flickr;Search problems;Biology;Semantics","social network theory;trees (mathematics)","profiled graph;community search problem;social networks;biological networks;PCS;high-quality diverse communities;profiled community search;tree index","","","","","","","","IEEE","IEEE Conferences"
"Near Optimal Charging Scheduling for 3-D Wireless Rechargeable Sensor Networks with Energy Constraints","C. Lin; C. Guo; H. Dai; L. Wang; G. Wu","Dalian University of Technology; Dalian University of Technology; Nanjing University; Dalian University of Technology; Dalian University of Technology","2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS)","","2019","","","624","633","","","","10.1109/ICDCS.2019.00068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8885113","3-D WRSN, Spatial and Temporal Discretization, Approximation Algorithm, Submodular Optimization","Wireless sensor networks;Approximation algorithms;Upper bound;Scheduling;Transmitters;Wireless communication;Software","approximation theory;autonomous aerial vehicles;inductive power transmission;optimisation;scheduling;wireless sensor networks","finite feasible charging spot;UAV;temporal discretization scheme;submodular maximization problem;routing constraints;optimal charging scheduling;3-D wireless rechargeable sensor networks;energy constraints;wireless power transfer technology;mobile chargers;unmanned aerial vehicle;charged energy;spatial discretization scheme;2-D networks;3-D WRSN;3-D environment;cost-efficient approximation algorithm","","","","","","","","IEEE","IEEE Conferences"
"RENN: Efficient Reverse Execution with Neural-Network-Assisted Alias Analysis","D. Mu; W. Guo; A. Cuevas; Y. Chen; J. Gai; X. Xing; B. Mao; C. Song","Nanjing University; The Pennsylvania State University; The Pennsylvania State University; The Pennsylvania State University; The Pennsylvania State University; The Pennsylvania State University; Nanjing University; UC Riverside","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","924","935","","","","10.1109/ASE.2019.00090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8952186","Reverse Execution, Deep Learning, Memory Alias","","binary codes;computational complexity;learning (artificial intelligence);program debugging;program diagnostics;recurrent neural nets;storage management;system recovery","RENN;efficient reverse execution;neural-network-assisted alias analysis;coredump analysis;software crashes;memory aliases;hypothesis testing;high computational complexity;deep neural architecture;memory alias resolution;recurrent neural network;binary code pattern;memory accesses;memory region;memory references;nonalias relation;deep learning;binary analysis tasks;off-the-shelf neural networks;recurrent neural architecture;machine code segments;memory corruption vulnerabilities;faster execution time","","","","","","","","IEEE","IEEE Conferences"
"Virtual Reality in the Digital Olympic Museum","Z. Pan; W. Chen; M. Zhang; J. Liu; G. Wu","Zhejiang University; Zhejiang University; Zhejiang University; Zhejiang University; Nanjing University","IEEE Computer Graphics and Applications","","2009","29","5","91","95","","","","10.1109/MCG.2009.103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/5230471","digital museum;Olympics;virtual environment;sports simulation;virtual reality","Virtual reality;Animation;Information retrieval;Avatars;Navigation;Large-scale systems;Virtual environment;History","avatars;computer animation;exhibitions;human computer interaction;humanities;information retrieval;sport","virtual reality;digital Olympic museum;cross-media information retrieval;distributed 3D virtual environment;Olympics history;Olympics culture","","12","","","","","","IEEE","IEEE Conferences"
"A methodology for analyzing availability weak points in SOA deployment frameworks","J. Luo; Y. Li; J. A. Pershing; L. Xie; Y. Chen","IBM China Research Lab; IBM China Research Lab; IBM T.J. Watson Research Center; Nanjing University; IBM China Research Lab","IEEE Transactions on Network and Service Management","","2009","6","1","31","44","","","","10.1109/TNSM.2009.090303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/5331279","Availability, SOA, workflow analysis, deployment optimization.","Availability;Semiconductor optical amplifiers;Service oriented architecture;Quality of service;Costs;Prototypes;Performance analysis;Delay;Topology","business data processing;software architecture;workflow management software","availability weak points;SOA deployment framework;business IT system;quality of service;SOA environment;IT resource;workflow;high availability enhancement recommendation;business-level availability requirement;IBM;service oriented architecture","","10","","","","","","IEEE","IEEE Conferences"
"Automatic Self-Validation for Code Coverage Profilers","Y. Yang; Y. Jiang; Z. Zuo; Y. Wang; H. Sun; H. Lu; Y. Zhou; B. Xu","Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2019","","","79","90","","","","10.1109/ASE.2019.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8952463","Code coverage, Metamorphic testing, Coverage profilers, Bug detection.","","dynamic programming;program compilers;program debugging;program diagnostics;program testing;reverse engineering;software engineering","code coverage profilers;primitive dynamic program behavior information;software engineering tasks;testing oracle problem;test program;compiler;profiler bugs;coverage statistics","","","","","","","","IEEE","IEEE Conferences"
"Timed Data Plane Update in Data Center Network","Y. Liu; X. Gao; J. Zheng; G. Chen","Shanghai Jiao Tong University; Shanghai Jiao Tong University; Nanjing University; Shanghai Jiao Tong University","2019 IEEE 25th International Conference on Parallel and Distributed Systems (ICPADS)","","2019","","","117","124","","","","10.1109/ICPADS47876.2019.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8975807","data plane update, datacenter network, SDN, schedule, flow update","","computer centres;graph theory;software defined networking;synchronisation;telecommunication congestion control;telecommunication scheduling","timed data plane update;data center network;software-defined networks;SDN control plane;decoupled control;switch-operation level dependency graph;fast update scheduling;TIDERS algorithm;flow-based dependency graph","","","","","","","","IEEE","IEEE Conferences"
"CRNN Based Jersey-Bib Number/Text Recognition in Sports and Marathon Images","S. Nag; R. Ramachandra; P. Shivakumara; U. Pal; T. Lu; M. Kankanhalli","Kalyani Government Engineering College, India; Norwegian University of Science and Technology; University of Malaya, Malaysia; Indian Statistical Institute, Kolkata; Nanjing University; National University of Singapore","2019 International Conference on Document Analysis and Recognition (ICDAR)","","2019","","","1149","1156","","","","10.1109/ICDAR.2019.00186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=https://ieeexplore.ieee.org/document/8977968","Text detection;Text recognition;Jersey number recognition;Bib number recognition","Text recognition;Sports;Image recognition;Hip;Thigh;Torso;Biological system modeling","convolutional neural nets;feature extraction;object detection;recurrent neural nets;sport;text detection","sports images;marathon images;cluttered environment conditions;Single Shot Multibox Detector;CNN-RNN based deep model;CRNN;text detection;jersey-bib number/text recognition","","","","","","","","IEEE","IEEE Conferences"
